Date,Normalized GEE Cloud Formation 
3/18/2015,0.037326083
4/19/2015,7.31E-05
5/14/2015,0
6/15/2015,0.081457725
7/17/2015,0.491461143
8/18/2015,0.534721849
9/19/2015,0.226174162
10/12/2015,7.33E-08
11/13/2015,0.000354455
12/15/2015,0.004837693
1/16/2016,0.004141342
2/17/2016,0.001674483
3/13/2016,5.93E-05
4/14/2016,0.019494125
5/16/2016,0.003336254
6/17/2016,0.1695986
7/19/2016,0.574512178
8/11/2016,0.403440306
9/12/2016,0.03165867
10/14/2016,0
11/15/2016,3.16E-05
12/17/2016,0.008267059
1/18/2017,0.007808981
2/19/2017,0.064885022
3/16/2017,0.16389281
4/17/2017,0.149591567
5/19/2017,0.0451436
6/11/2017,0.001174868
7/13/2017,0.528098002
8/14/2017,0.43044356
9/15/2017,0.251762358
10/17/2017,7.75E-07
11/18/2017,0.071321459
12/13/2017,0.041204653
1/14/2018,0.011815938
2/15/2018,0.006536356
3/19/2018,0.000477427
4/11/2018,5.52E-05
5/13/2018,2.54E-06
6/14/2018,0.522215126
7/16/2018,0.469043302
8/17/2018,0.445866685
9/11/2018,0.557400092
10/20/2018,0.18294561
11/14/2018,1.92E-06
12/16/2018,0.112764233
1/17/2019,0.011261118
2/18/2019,0.002802587
3/13/2019,0.011861009
4/14/2019,0.434991912
5/16/2019,0.23960932
6/10/2019,0.001812816
7/12/2019,0.487437715
8/13/2019,0.309510193
9/14/2019,0.536305193
10/16/2019,0.016528346
11/17/2019,0.045910067
12/19/2019,0.097266856
